,0
num_params,0.13551676
num_dots,0.12713012
has_ip,0.11861246
num_subdomains,0.06595079
tld_length,0.060457233
path_length,0.057614528
suspicious_word_count,0.040346976
num_equal_signs,0.040162116
num_underscores,0.039054755
num_ampersands,0.03861943
has_hex_encoding,0.02890713
num_slashes,0.027918654
has_at_symbol,0.022785828
num_digits,0.017142039
has_double_slash_redirect,0.016642353
num_at_signs,0.015452194
entropy_host,0.01492808
num_question_marks,0.014890587
num_tokens,0.014807
host_length,0.014630385
num_hyphens,0.014172615
query_length,0.01271476
digit_ratio,0.012283698
max_token_length,0.011534959
url_length,0.010200948
avg_token_length,0.009622822
entropy_url,0.009086588
is_shortener,0.005793301
has_port,0.003020851
