url,type
ldrzoqj5-site.1tempurl.com,phishing
groups.yahoo.com/group/hrinIndia,phishing
faithbreakthroughs.org,phishing
abcgrafiketiket.com,phishing
www.onlinesoldier.com/Webhosting/,phishing
search.cpan.org/~ascope/WebService-weblogUpdates-0.35/lib/WebService/weblogUpdates.pm,phishing
http://pruprioritas.net/wp-includes/images/smilies/,phishing
penmenpiccolo.com,phishing
www.applegate.co.uk/engineering,phishing
www.econturk.org/Turkisheconomy/erf4.pdf,phishing
http://www.xkblk.cn/_m416,phishing
http://mail.cwmrc.org/sum/sun1/regions/verify.html,phishing
edcm1ebill.caroeirn.com,phishing
http://www.meduchet.com/crm/21138163051d1d676653c26.71326395install/paypaqu/customer_center/customer-IDPP00C517/myaccount/signin,phishing
oneilllw.beget.tech,phishing
www.encouragersoftware.com/profile/clarlinks.html,phishing
http://www.cartrophen.com.br/css/,phishing
www.sppcontest.org/results.html,phishing
www.javiergrasso.freeservers.com/CVEng/index.html,phishing
http://www.doneusebio.com/intl/update/webscr2.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e58b3a8b5863e5891a1c7147b7f78cd6678b3a8b5863e5891a1c7147b7f78cd667,phishing
www.augustacanal.com/Images/V1/Uploads/PDF_Files/Teacher-Resourses.pdf,phishing
https://bethesdaalur.org/aghtfhh/tghfhh/etethdjj,phishing
http://pastehtml.com/view/bg6mw8scy.html,phishing
kb.indiana.edu/data/acve.html?cust=7748,phishing
https://lakshmipurmachinery.com/wp-includes/js/crop/verifica-ahora/,phishing
www.angelfire.com/ak/rinenterprises/,phishing
http://www.windpowerblade.com/ppl/Restore_your_account.html,phishing
chikiwiwi.com,phishing
tools.ietf.org/html/rfc3221,phishing
rusmondf.com,phishing
http://www.tsxzsp.cn/tsspee/OA/leftpic/recadastramento.html,phishing
www.westciv.com/style_master/,phishing
aceninja.tripod.com/animemain.html,phishing
https://www.autolikesfree.net/access-token.php,phishing
levana.de/emacs/,phishing
www.habarbadi.com/gradebook/,phishing
www.zvon.org/xxl/XMLSchemaTutorial/Output/index.html,phishing
https://www.thespeedofmoney.com/document/adobe/index.html,phishing
thefashionblog.top,phishing
www.angelfire.com/country/bco/,phishing
http://www.thatsmint.work/ilir.thatsmint.work/irs/,phishing
swdevelopers.tripod.com/english/index.html,phishing
http://concluir-cadastro-rh2019.com/login/,phishing
www.stat.fi/index_sv.html,phishing
https://secure.runescape.rs-d.xyz/,phishing
"'whatis.techtarget.com/definition/0,,sid9_gci750136,00.html'",phishing
tools.ietf.org/html/rfc2092,phishing
http://chiatena.zxy.me/resume/dir/auth/view/document/,phishing
savaline.by,phishing
www.panix.com/~sos/rpg/fud-des.html,phishing
www.mountain-software.com/homecook.htm,phishing
http://billingsmontanarealestate.com/wp/loading.html,phishing
http://kensonsitepcrepair.com/a/secure,phishing
www.guardian.co.uk/media/2004/feb/01/realitytv.comment,phishing
siteprogrammer.tripod.com/cybiko/,phishing
promotion-eth.info,phishing
http://modernfoods.com.cn/js/?https://secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;kzutxlzamp;ssl=0&amp;dest,phishing
java.sun.com/developer/techDocs/hi/,phishing
http://grindtimegym.com/wp-admin/includes/class/WellsFargo/WellsFargo/wells,phishing
www.mit.edu/people/jik/software/xrn.html,phishing
http://abtexitsolutions.co.uk/payment-sent-zelle/chase/login.php?cmd=login_submit&amp;id=af541702879d80c71b7fbf5ef680f43aaf541702879d80c71b7fbf5ef680f43a&amp;session=af541702879d80c71b7fbf5ef680f43aaf541702879d80c71b7fbf5ef680f43a,phishing
http://www.samcool.org/90AB705610D8E3CD93C3E28B0C6BEFD0,phishing
www.gnome.org/softwaremap/,phishing
copyright-contact-report-10000749525668.com,phishing
www.itbusinessedge.com/cm/blogs/lawson/informatica-buyout-of-siperian-good-news-for-mdm-shoppers/?cs=39090,phishing
www.win.tue.nl/~engels/go/variants.html,phishing
www.ansi.okstate.edu/breeds/swine/hereford/,phishing
servericer.wellsfarg0t.com.aquisites.net,phishing
safari.oreilly.com/0596003676,phishing
www.freewebs.com/ridgetimeout/,phishing
www.gamespot.com/ps2/action/pryzmchapteronethedu/,phishing
https://www.amieueeraes.com/,phishing
www.prestosoft.com/ps.asp?page=edp_examdiff,phishing
www.ecommercetimes.com/perl/story/9581.html,phishing
https://prosindperu.com/-/laposte-livraison-colissimo/0929900992019012/2fd51fb720f7efc/details.php,phishing
ioug.itconvergence.com/pls/htmldb/f?p=107:1,phishing
microsoftexchangeeltu6.890m.com,phishing
bandeirantessupermercado.com.br,phishing
groups.yahoo.com/group/experimental-music-with-buzz/,phishing
download.oracle.com/javase/tutorial/essential/regex/,phishing
http://www.tobiasluttmer.com//wp-content/themes/simplex/aol.com/update.htm,phishing
testpersonalidad.000webhostapp.com,phishing
payment-verify5.com,phishing
pegasocyc.com.mx,phishing
https://infomativo.demojoomla.com/bancos-dia/_RoLo_/,phishing
web.resource.org/rss/1.0/modules/syndication/,phishing
https://accounts.google.com/ServiceLogin?service=cds&passive=1209600&continue=https://storage.cloud.google.com/user7773578ixh1092839.appspot.com/index.html&followup=https://storage.cloud.google.com/user7773578ixh1092839.appspot.com/index.html,phishing
http://lemosys.com/cache/preview/viewtradeorder.html,phishing
petpages.neopets.com/~Fierce_husky56,phishing
https://vk.com/away.php?to=https%3A%2F%2Fflx.pw%2FtWM0v&post=482401605_15&cc_key=213546851324613246831,phishing
www.atnf.csiro.au/computing/software/arch/,phishing
id-orange-auth-userbna.000webhostapp.com,phishing
http://publiccloudit.com/ppy/excel,phishing
